class,length,tested,taken,taken_pct
dictionary,4,300,299,99.7
dictionary,5,300,298,99.3
dictionary,6,300,294,98
dictionary,7,300,294,98
dictionary-obscure,4,399,392,98.2
dictionary-obscure,5,399,377,94.5
dictionary-obscure,6,399,289,72.4
dictionary-obscure,7,399,192,48.1
dictionary2,4,398,397,99.7
dictionary2,5,399,397,99.5
dictionary2,6,399,396,99.2
dictionary2,7,399,388,97.2
pronounceable,4,300,290,96.7
pronounceable,5,300,176,58.7
pronounceable,6,300,54,18
pronounceable,7,300,7,2.3
random-alnum,3,300,21,7
random-alnum,4,300,169,56.3
random-alnum,5,300,18,6
random-alnum,6,300,0,0
random-alnum,7,300,0,0
random-alnum,8,300,0,0
random-letters,3,300,43,14.3
random-letters,4,300,251,83.7
random-letters,5,300,50,16.7
random-letters,6,300,2,0.7
random-letters,7,300,0,0
random-letters,8,300,0,0
