month,sales,volume_ton,top_sale_ton,four_letter_sales,four_letter_volume_ton
2022-10,54,336590,100000,6,108650
2022-11,6114,31548365,994000,219,16703654
2022-12,15384,15903157,471000,194,7850060
2023-01,9761,1535921,92000,49,550274
2023-02,4956,698685,153000,9,49773
2023-03,6908,850200,45500,32,173324
2023-04,7572,932993,84000,35,244164
2023-05,8585,824926,35887,64,398961
2023-06,10068,1218352,36466,100,589160
2023-07,12440,1407755,110250,97,521507
2023-08,13591,1227699,80000,90,468493
2023-09,8877,1244649,92400,52,343440
2023-10,8724,894920,80000,34,193753
2023-11,8495,775683,24890,48,289512
2023-12,7958,754339,40000,54,298842
2024-01,10222,927106,40000,63,365966
2024-02,10658,2299019,105000,94,770392
2024-03,9490,1452721,245000,34,213097
2024-04,8390,625339,26000,30,150814
2024-05,8727,557356,20500,14,71198
2024-06,7351,453997,16888,16,82429
2024-07,7034,561910,28024,36,171021
2024-08,7664,555278,31300,35,173030
2024-09,9565,623477,17400,38,202284
2024-10,10130,807306,40000,35,224132
2024-11,9624,803707,77777,38,208786
2024-12,5312,406890,27000,24,115650
2025-01,6542,458723,24000,27,136653
2025-02,9495,1136643,12764,73,398555
2025-03,14820,1682173,250000,96,512703
2025-04,15918,1114795,22000,95,517951
2025-05,17668,1642039,15500,152,820960
2025-06,21100,1890716,44444,202,1090735
2025-07,19581,1482940,45000,142,767657
2025-08,17042,1426512,15700,152,782139
2025-09,18769,1710254,27000,162,961359
2025-10,24604,3266305,555555,243,1432176
2025-11,28878,2901825,25000,298,1579434
2025-12,34040,3216443,100000,347,1849630
2026-01,33876,3388147,134669,280,1561676
2026-02,34475,5588338,1583948,284,1788861
2026-03,35531,4130930,219000,310,2337028
2026-04,33506,3985753,87000,342,2152767
2026-05,30281,2527755,118888,194,1083941
2026-06,33617,3085139,63800,254,1387158
2026-07,33020,2673223,354900,194,1126276
2026-08,35153,3323563,86666,266,1607779
2026-09,17168,2193238,53550,193,1221936
